location;scope;year;value
Lanao Del Sur;Province;2010;933260.0
Maguindanao (excluding Cotabato City);Province;2010;944718.0
Sulu;Province;2010;718290.0
Tawi-Tawi;Province;2010;366550.0
Region XIII (Caraga);Region;2010;2429224.0
Agusan Del Norte (excluding Butuan City);Province;2010;332487.0
Butuan City;Province;2010;309709.0
Agusan Del Sur;Province;2010;656418.0
Surigao Del Norte;Province;2010;442588.0
Surigao Del Sur;Province;2010;561219.0
Dinagat Islands;Province;2010;126803.0
PHILIPPINES;Country;2015;100981437.0
National Capital Region (NCR);Region;2015;12877253.0
City of Manila;Province;2015;1780148.0
City of Mandaluyong;Province;2015;386276.0
City of Marikina;Province;2015;450741.0
City of Pasig;Province;2015;755300.0
Quezon City;Province;2015;2936116.0
City of San Juan;Province;2015;122180.0
Caloocan City;Province;2015;1583978.0
City of Malabon;Province;2015;365525.0
City of Navotas;Province;2015;249463.0
City of Valenzuela;Province;2015;620422.0
City of Las Piñas;Province;2015;588894.0
City of Makati;Province;2015;582602.0
City of Muntinlupa;Province;2015;504509.0
City of Parañaque;Province;2015;665822.0
Pasay City;Province;2015;416522.0
Pateros;Province;2015;63840.0
Taguig City;Province;2015;804915.0
Cordillera Administrative Region (CAR);Region;2015;1722006.0
Abra;Province;2015;241160.0
Benguet (excluding Baguio City);Province;2015;446224.0
Baguio City;Province;2015;345366.0
Ifugao;Province;2015;202802.0
Kalinga;Province;2015;212680.0
Mountain Province;Province;2015;154590.0
Apayao;Province;2015;119184.0
Region I (Ilocos Region);Region;2015;5026128.0
Ilocos Norte;Province;2015;593081.0
Ilocos Sur;Province;2015;689668.0
La Union;Province;2015;786653.0
Pangasinan;Province;2015;2956726.0
Region II (Cagayan Valley);Region;2015;3451410.0
Batanes;Province;2015;17246.0
Cagayan;Province;2015;1199320.0
Isabela;Province;2015;1593566.0
Nueva Vizcaya;Province;2015;452287.0
Quirino;Province;2015;188991.0
Region III (Central Luzon);Region;2015;11218177.0
Bataan;Province;2015;760650.0
Bulacan;Province;2015;3292071.0
Nueva Ecija;Province;2015;2151461.0
Pampanga (excluding Angeles City);Province;2015;2198110.0
Angeles City;Province;2015;411634.0
Tarlac;Province;2015;1366027.0
Zambales (excluding Olongapo City);Province;2015;590848.0
Olongapo City;Province;2015;233040.0
Aurora;Province;2015;214336.0
Region IV-A (Calabarzon);Region;2015;14414774.0
Batangas;Province;2015;2694335.0
Cavite;Province;2015;3678301.0
Laguna;Province;2015;3035081.0
Quezon (excluding Lucena City);Province;2015;1856582.0
Lucena City;Province;2015;266248.0
Rizal;Province;2015;2884227.0
Mimaropa Region;Region;2015;2963360.0
Marinduque;Province;2015;234521.0
Occidental Mindoro;Province;2015;487414.0
Oriental Mindoro;Province;2015;844059.0
Palawan (excluding Puerto Princesa City);Province;2015;849469.0
Puerto Princesa City;Province;2015;255116.0
Romblon;Province;2015;292781.0
Region V (Bicol Region);Region;2015;5796989.0
Albay;Province;2015;1314826.0
Camarines Norte;Province;2015;583313.0
Camarines Sur;Province;2015;1952544.0
Catanduanes;Province;2015;260964.0
Masbate;Province;2015;892393.0
Sorsogon;Province;2015;792949.0
Region VI (Western Visayas);Region;2015;4477247.0
Aklan;Province;2015;574823.0
Antique;Province;2015;582012.0
Capiz;Province;2015;761384.0
Iloilo (excluding Iloilo City);Province;2015;1936423.0
Iloilo City;Province;2015;447992.0
Guimaras;Province;2015;174613.0
Region VII (Central Visayas);Region;2015;6041903.0
Bohol;Province;2015;1313560.0
Cebu (excluding The Cities of Cebu, Lapu-Lapu, And Mandaue);Province;2015;2938982.0
Cebu City;Province;2015;922611.0
Lapu-Lapu City (Opon);Province;2015;408112.0
Mandaue City;Province;2015;362654.0
Siquijor;Province;2015;95984.0
Negros Island Region (NIR);Province;2015;4414131.0
Negros Occidental (excluding Bacolod City);Province;2015;2497261.0
Bacolod City;Province;2015;561875.0
Negros Oriental;Province;2015;1354995.0
Region VIII (Eastern Visayas);Province;2015;4440150.0
Eastern Samar;Province;2015;467160.0
Leyte (excluding Tacloban City);Province;2015;1724679.0
Tacloban City;Province;2015;242089.0
Northern Samar;Province;2015;632379.0
Samar (Western Samar);Province;2015;780481.0
Southern Leyte;Province;2015;421750.0
Biliran;Province;2015;171612.0
Region IX (Zamboanga Peninsula);Region;2015;3629783.0
Zamboanga Del Norte;Province;2015;1011393.0
Zamboanga Del Sur (excluding Zamboanga City);Province;2015;1010674.0
Zamboanga City;Province;2015;861799.0
Zamboanga Sibugay;Province;2015;633129.0
City of Isabela;Province;2015;112788.0
Region X (Northern Mindanao);Region;2015;4689302.0
Bukidnon;Province;2015;1415226.0
Camiguin;Province;2015;88478.0
Lanao Del Norte (excluding Iligan City);Province;2015;676395.0
Iligan City;Province;2015;342618.0
Misamis Occidental;Province;2015;602126.0
Misamis Oriental (excluding Cagayan De Oro City);Province;2015;888509.0
Cagayan De Oro City;Province;2015;675950.0
Region XI (Davao Region);Province;2015;4893318.0
Davao Del Norte;Province;2015;1016332.0
Davao Del Sur (excluding Davao City);Province;2015;632588.0
Davao City;Province;2015;1632991.0
Davao Oriental;Province;2015;558958.0
Compostela Valley;Province;2015;736107.0
Davao Occidental;Province;2015;316342.0
Region XII (SOCCSKSARGEN);Region;2015;4545276.0
Cotabato (North Cotabato);Province;2015;1379747.0
South Cotabato (excluding General Santos City);Province;2015;915289.0
General Santos City (Dadiangas);Province;2015;594446.0
Sultan Kudarat;Province;2015;812095.0
